iteration,condition_mean,condition_sd,timestep,true_state,speed,belief_a,belief_m,action
0,70,5,0,0,96.46078518951497,0.9,0.1,0
0,70,5,1,0,76.00235812550835,0.8999989526840101,0.10000104731599005,0
0,70,5,2,0,84.68106976158609,0.7804585582891487,0.2195414417108515,0
0,70,5,3,0,103.61339798802187,0.8856313724689621,0.11436862753103799,0
0,70,5,4,0,98.01336985224951,0.8999999994140664,0.1000000005859336,0
0,70,5,5,0,55.34083180185384,0.899999767,0.10000023285555508,0
0,70,5,6,0,84.25132626288384,0.8941966624199955,0.10580333758000439,0
0,70,5,7,0,67.72964187553453,0.8923961245724434,0.10760387542755659,0
0,70,5,8,0,68.45171722309664,0.7014760821492619,0.2985239178507382,1
0,70,5,9,0,76.15897752907559,0.4598043222255468,0.5401956777744532,1
0,70,5,10,1,90.72021785580439,0.38615680938675545,0.6138431906132445,0
0,70,5,11,1,97.27136753481487,0.8981560228153356,0.10184397718466423,0
0,70,5,12,1,93.80518862573497,0.8999995072459467,0.1000004927540534,0
0,70,5,13,1,90.60837508246414,0.8999887618921244,0.1000112381078756,0
0,70,5,14,1,92.21931616372713,0.8998597549919402,0.10014024500805987,0
0,70,5,15,1,91.66837163687133,0.8999588012877121,0.10004119871228782,0
0,70,5,16,1,97.47039536578804,0.8999367471107843,0.10006325288921583,0
0,70,5,17,1,88.97420868117099,0.8999996019017478,0.10000039809825219,0
0,70,5,18,1,91.56533850825451,0.8995573233881364,0.10044267661186364,0
0,70,5,19,1,85.72952130349138,0.8999312293951297,0.10006877060487024,0
1,70,5,0,0,94.36518045494863,0.9,0.1,0
1,70,5,1,0,60.823653795248866,0.8999930429566377,0.10000695704336227,0
1,70,5,2,0,62.077423716048166,0.8444580870195495,0.1555419129804505,0
1,70,5,3,0,53.90547066765744,0.7773682579503258,0.22263174204967412,0
1,70,5,4,0,82.98111443987018,0.8931843182468447,0.10681568175315515,0
1,70,5,5,0,35.47691954679576,0.8859019754292473,0.1140980245707525,0
1,70,5,6,0,96.17217646,0.8999999998058521,0.10000000019414783,0
